Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,"{Temperature},{Humdity}",Weather Type
2.5,14.0,partly Cloudy,1010.34,8,Winter,5.0,mountain,"{""Temperature"": {""value"": 26.0, ""unit"": ""C""}, ""Humidity"": {""value"": 25, ""unit"": ""%""}}",Sunny
9.5,82.0,overcast,1019.42,3,Summer,4.0,mountain,"{""Temperature"": {""value"": 26.0, ""unit"": ""C""}, ""Humidity"": {""value"": 91, ""unit"": ""%""}}",Rainy
18500.0M/H,86.0,overcast,981.26,0,Winter,3.5,mountain,"{""Temperature"": {""value"": -2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 98, ""unit"": ""%""}}",Snowy
0.0030555555555555557KM/S,98.0,overcast,1017.49,3,It rains every day....,4.0,inland,"{""Temperature"": {""value"": 17.0, ""unit"": ""C""}, ""Humidity"": {""value"": 90, ""unit"": ""%""}}",Rainy
8.5,37.0,Party cloudy,1014.49,4,summer,7.5,inland,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 55, ""unit"": ""%""}}",Cloudy
20.0,88.0,partly Cloudy,990.72,1,Winter,4.5,mountain,"{""Temperature"": {""value"": -4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 96, ""unit"": ""%""}}",Snowy
14000.0M/H,78.0,overcast,984.11,0,Wintar,4.0,inland,"{""Temperature"": {""value"": -1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 87, ""unit"": ""%""}}",Snowy
5.5,55.0,overcast,991.65,0,Winter,3.0,inland,"{""Temperature"": {""value"": -5.0, ""unit"": ""C""}, ""Humidity"": {""value"": 94, ""unit"": ""%""}}",Snowy
13.0,90.0,overcast,997.97,3,Autumn,2.5,coastal,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 95, ""unit"": ""%""}}",Rainy
9.0,101.0,overcast,1017.89,3,Summer,7.5,mountain,"{""Temperature"": {""value"": 41.0, ""unit"": ""C""}, ""Humidity"": {""value"": 85, ""unit"": ""%""}}",Cloudy
0.0,4.0,Clr,1018.56,7,Winter,9.5,coastal,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 41, ""unit"": ""%""}}",Sunny
0.0001388888888888889KM/S,69.0,overcast,1074.07,3,Spring,12.5,inland,"{""Temperature"": {""value"": 31.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Sunny
18.5,54.0,overcast,996.12,0,Spring,3.0,coastal,"{""Temperature"": {""value"": 16.0, ""unit"": ""C""}, ""Humidity"": {""value"": 84, ""unit"": ""%""}}",Rainy
14.0,18.0,overcast,1011.96,1,Spring,8.5,coastal,"{""Temperature"": {""value"": 10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Cloudy
6.0,68.0,overcast,992.45,0,Winter,3.0,mountain,"{""Temperature"": {""value"": 29.0, ""unit"": ""C""}, ""Humidity"": {""value"": 63, ""unit"": ""%""}}",Rainy
1.5,32.0,partly cloudy,1009.01,2,Autumn,5.5,inland,"{""Temperature"": {""value"": 15.0, ""unit"": ""C""}, ""Humidity"": {""value"": 55, ""unit"": ""%""}}",Cloudy
0.012916666666666667KM/S,87.0,overcast,996.85,5,Winter,4.5,inland,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 75, ""unit"": ""%""}}",Snowy
9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,"{""Temperature"": {""value"": 24.0, ""unit"": ""C""}, ""Humidity"": {""value"": 52, ""unit"": ""%""}}",Cloudy
9.0,67.0,overcast,995.4,1,Winter,2.0,mountain,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 85, ""unit"": ""%""}}",Rainy
1.5,87.0,partly CLOUDY,1017.16,11,Summer,6.5,mountain,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 89, ""unit"": ""%""}}",Sunny
8.0,17.0,clear,1025.22,5,sumer,6.0,mountain,"{""Temperature"": {""value"": 24.0, ""unit"": ""C""}, ""Humidity"": {""value"": 47, ""unit"": ""%""}}",Sunny
2.0,89.0,partly cloddy,993.14,0,Winter,3.0,inland,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 97, ""unit"": ""%""}}",Snowy
3.0,17.0,clear,1026.15,7,sumer,8.0,mountain,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 54, ""unit"": ""%""}}",Sunny
13.5,57.0,overcast,983.36,1,Winter,4.0,inland,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Snowy
3500.0M/H,41.0,partly cloudy,1017.74,2,Winter,8.0,mountain,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 75, ""unit"": ""%""}}",Cloudy
6.0,97.0,overcast,1063.39,7,I hate summer,12.5,inland,"{""Temperature"": {""value"": 11.0, ""unit"": ""C""}, ""Humidity"": {""value"": 52, ""unit"": ""%""}}",Snowy
6.5,84.0,overcast,1013.61,0,Spring,4.5,inland,"{""Temperature"": {""value"": 31.0, ""unit"": ""C""}, ""Humidity"": {""value"": 62, ""unit"": ""%""}}",Rainy
6.5,18.0,clear,1022.53,7,Summer,8.5,coastal,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 31, ""unit"": ""%""}}",Sunny
5.0,4.0,Clear,1027.53,9,Spring,10.0,inland,"{""Temperature"": {""value"": 34.0, ""unit"": ""C""}, ""Humidity"": {""value"": 47, ""unit"": ""%""}}",Sunny
13.5,29.0,partly cloddy,1018.98,3,Autumn,8.5,mountain,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Cloudy
18000.0M/H,90.0%,overCst,992.83,3,Winter,5.0,mountain,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 68, ""unit"": ""%""}}",Rainy
10.0,83.0,partly CLOUDY,1009.48,1,Summer,3.5,inland,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 62, ""unit"": ""%""}}",Rainy
6.0,90.0,overcast,1006.67,0,Autumn,4.5,mountain,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 96, ""unit"": ""%""}}",Rainy
9.5,47.0,partly cloudy,1017.82,1,Summer,7.0,coastal,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Cloudy
11500.0M/H,82.0,partly Cloudy,1029.09,10,Summer,7.0,coastal,"{""Temperature"": {""value"": 49.0, ""unit"": ""C""}, ""Humidity"": {""value"": 75, ""unit"": ""%""}}",Sunny
12.0,63.0,partly CLOUDY,983.83,1,Winter,4.5,inland,"{""Temperature"": {""value"": -5.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Snowy
5.5,99.0,overcast,1019.92,0,Summer,4.5,mountain,"{""Temperature"": {""value"": 31.0, ""unit"": ""C""}, ""Humidity"": {""value"": 62, ""unit"": ""%""}}",Rainy
6.5,92.0,overcast,999.46,0,Winter,2.5,inland,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 91, ""unit"": ""%""}}",Snowy
2.5,63.0,partly Cloudy,1160.48,2,Winter,0.0,coastal,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 35, ""unit"": ""%""}}",Sunny
10.0,96.0,overcast,999.99,7,Winter,1.0,inland,"{""Temperature"": {""value"": -7.0, ""unit"": ""C""}, ""Humidity"": {""value"": 78, ""unit"": ""%""}}",Snowy
1.0,8.0,clear,1022.48,9,It is so hot outside,9.0,mountain,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 43, ""unit"": ""%""}}",Sunny
9.5,19.0,partly cloudy,1014.4,4,Winter,6.5,mountain,"{""Temperature"": {""value"": 12.0, ""unit"": ""C""}, ""Humidity"": {""value"": 56, ""unit"": ""%""}}",Cloudy
9.0,60.0percent,OVRCST,995.63,1,It rains every day....,4.0,inland,"{""Temperature"": {""value"": -7.0, ""unit"": ""C""}, ""Humidity"": {""value"": 93, ""unit"": ""%""}}",Snowy
0.007916666666666667KM/S,71.0,partly CLOUDY,1008.0,4,Winter,6.0,inland,"{""Temperature"": {""value"": 15.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Cloudy
6.0,67.0,partly cloddy,1009.12,3,Summer,4.0,coastal,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Rainy
14.5,57.0,overcast,1018.44,0,Winter,4.0,inland,"{""Temperature"": {""value"": 19.0, ""unit"": ""C""}, ""Humidity"": {""value"": 93, ""unit"": ""%""}}",Rainy
9.0,11.0,partly cloudy,853.01,14,It rains every day....,3.5,coastal,"{""Temperature"": {""value"": 14.0, ""unit"": ""C""}, ""Humidity"": {""value"": 44, ""unit"": ""%""}}",Rainy
11.0,15.0,Party cloudy,824.71,9,Fall,12.5,inland,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 38, ""unit"": ""%""}}",Snowy
0.005KM/S,83.0,partly Cloudy,1026.94,0,Spring,5.5,mountain,"{""Temperature"": {""value"": 17.0, ""unit"": ""C""}, ""Humidity"": {""value"": 88, ""unit"": ""%""}}",Sunny
11500.0M/H,65.0,overcast,1000.74,1,Winter,5.0,mountain,"{""Temperature"": {""value"": 23.0, ""unit"": ""C""}, ""Humidity"": {""value"": 88, ""unit"": ""%""}}",Rainy
0.002638888888888889KM/S,0.0,partly cloudy,1023.62,9,Winter,10.0,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 35, ""unit"": ""%""}}",Sunny
5.0,54.0,overcast,981.02,1,Winter,4.5,mountain,"{""Temperature"": {""value"": -4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 87, ""unit"": ""%""}}",Snowy
17.0,96.0,partly cloudy,1013.85,13,Winter,3.5,inland,"{""Temperature"": {""value"": 31.0, ""unit"": ""C""}, ""Humidity"": {""value"": 72, ""unit"": ""%""}}",Cloudy
8.0,5.0,cleer,1019.82,5,autum,5.5,mountain,"{""Temperature"": {""value"": 40.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Sunny
3.0,6.0,clear,1013.68,9,Wentar,6.5,mountain,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 24, ""unit"": ""%""}}",Sunny
2.5,99.0,overcast,994.34,1,Winter,2.5,inland,"{""Temperature"": {""value"": -7.0, ""unit"": ""C""}, ""Humidity"": {""value"": 61, ""unit"": ""%""}}",Snowy
0.0M/H,65.0,overcast,991.66,0,Winter,1.5,inland,"{""Temperature"": {""value"": -3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 82, ""unit"": ""%""}}",Snowy
6.0,14.0,partly cloudy,1010.17,8,Autumn,7.0,coastal,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 65, ""unit"": ""%""}}",Sunny
4.5,43.0,overcast,1007.94,1,Spring,7.0,coastal,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 79, ""unit"": ""%""}}",Cloudy
8.5,2.0,cleer,1027.33,11,Summer,5.5,inland,"{""Temperature"": {""value"": 29.0, ""unit"": ""C""}, ""Humidity"": {""value"": 47, ""unit"": ""%""}}",Sunny
15.5,59.0,overcast,1012.06,0,Autumn,3.5,mountain,"{""Temperature"": {""value"": 13.0, ""unit"": ""C""}, ""Humidity"": {""value"": 80, ""unit"": ""%""}}",Rainy
5.0,16.0,cleer,1021.61,5,Autumn,5.0,mountain,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 39, ""unit"": ""%""}}",Sunny
0.5,79.0,overcast,1057.69,0,Summer,10.0,inland,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 75, ""unit"": ""%""}}",Rainy
9.5,6.0,clear,1015.16,6,Autumn,8.5,mountain,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 48, ""unit"": ""%""}}",Sunny
7.0,85.0,Party cloudy,1008.5,1,Summer,3.5,coastal,"{""Temperature"": {""value"": 19.0, ""unit"": ""C""}, ""Humidity"": {""value"": 82, ""unit"": ""%""}}",Rainy
5.0,94.0,overcast,1012.87,2,Spring,3.5,mountain,"{""Temperature"": {""value"": 18.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Rainy
12.5,42.0,overcast,822.66,2,Summer,17.5,mountain,"{""Temperature"": {""value"": 18.0, ""unit"": ""C""}, ""Humidity"": {""value"": 60, ""unit"": ""%""}}",Rainy
13.5,79.0,overcast,995.74,1,Winter,1.5,inland,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 80, ""unit"": ""%""}}",Snowy
0.002638888888888889KM/S,63.0,overcast,983.99,1,Winter,3.5,mountain,"{""Temperature"": {""value"": 1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Snowy
0.0002777777777777778KM/S,19.0,partly cloddy,1011.5,2,Autumn,6.0,mountain,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 69, ""unit"": ""%""}}",Cloudy
2.5,56.0,overcast,989.29,1,Winter,4.0,mountain,"{""Temperature"": {""value"": -10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Snowy
5.5,53.0,overcast,995.09,2,Summer,4.0,inland,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 61, ""unit"": ""%""}}",Rainy
8.0,17.0,clr,1011.53,11,Spring,10.0,inland,"{""Temperature"": {""value"": 41.0, ""unit"": ""C""}, ""Humidity"": {""value"": 29, ""unit"": ""%""}}",Sunny
2.5,72.0,overcast,998.51,0,It rains every day....,2.0,mountain,"{""Temperature"": {""value"": -1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 99, ""unit"": ""%""}}",Snowy
1.5,18.0,overcast,1008.47,2,Summer,9.0,inland,"{""Temperature"": {""value"": 31.0, ""unit"": ""C""}, ""Humidity"": {""value"": 65, ""unit"": ""%""}}",Cloudy
0.0002777777777777778KM/S,14.0,partly cloudy,1016.5,2,trees lose their leaves in this time,5.5,coastal,"{""Temperature"": {""value"": 19.0, ""unit"": ""C""}, ""Humidity"": {""value"": 62, ""unit"": ""%""}}",Cloudy
0.0077777777777777776KM/S,99.0,partly cloddy,987.7,1,winter,4.5,mountain,"{""Temperature"": {""value"": -3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 92, ""unit"": ""%""}}",Snowy
18.0,73.0,overcast,983.46,0,Wintar,1.5,inland,"{""Temperature"": {""value"": -1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 83, ""unit"": ""%""}}",Snowy
0.0005555555555555556KM/S,81.0,overcast,984.9,1,Winter,2.0,mountain,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Snowy
4500.0M/H,52.0,overcast,984.59,1,Winter,1.0,inland,"{""Temperature"": {""value"": 0.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Snowy
0.0025KM/S,68.0,overcast,1004.27,3,Spring,3.5,inland,"{""Temperature"": {""value"": 26.0, ""unit"": ""C""}, ""Humidity"": {""value"": 76, ""unit"": ""%""}}",Rainy
19.5,81.0,overcast,1017.76,0,Winter,4.5,coastal,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 92, ""unit"": ""%""}}",Rainy
14.0,94.0,overcast,997.77,0,Summer,4.5,mountain,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 96, ""unit"": ""%""}}",Rainy
0.0002777777777777778KM/S,36.0,partly CLOUDY,1017.92,1,Spring,8.5,mountain,"{""Temperature"": {""value"": 23.0, ""unit"": ""C""}, ""Humidity"": {""value"": 52, ""unit"": ""%""}}",Cloudy
2.5,89.0,overcast,992.78,1,Winter,2.0,mountain,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Snowy
16.0,91.0,overcast,1016.14,0,Summer,2.5,mountain,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 95, ""unit"": ""%""}}",Rainy
2.5,83.0,overcast,982.21,1,Winter,4.0,mountain,"{""Temperature"": {""value"": -2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 91, ""unit"": ""%""}}",Snowy
0.0001388888888888889KM/S,91.0,cloudy,934.49,14,Fall,17.0,inland,"{""Temperature"": {""value"": 29.0, ""unit"": ""C""}, ""Humidity"": {""value"": 77, ""unit"": ""%""}}",Sunny
6.5,75.0,partly CLOUDY,998.0,0,Winter,3.0,mountain,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 77, ""unit"": ""%""}}",Snowy
6.5,45.0,partly cloudy,1008.69,2,Summer,5.5,coastal,"{""Temperature"": {""value"": 16.0, ""unit"": ""C""}, ""Humidity"": {""value"": 67, ""unit"": ""%""}}",Cloudy
4.0,90.0,cleer,1022.88,10,Spring,12.5,mountain,"{""Temperature"": {""value"": 46.0, ""unit"": ""C""}, ""Humidity"": {""value"": 94, ""unit"": ""%""}}",Sunny
1.0,71.0,overcast,998.01,1,Winter,1.5,inland,"{""Temperature"": {""value"": -2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 92, ""unit"": ""%""}}",Snowy
6500.0M/H,21.0,partly cloudy,1013.93,4,Autumn,6.0,inland,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 50, ""unit"": ""%""}}",Cloudy
